No,Age,Gender,Average_mark,Repeated_a_Class,Suspended,Academic_Performance ,Family_Background,Students_Attitude ,Class_Attendance,Behavior ,Culture ,Grade ,Students_Responsibility ,Dropouts
104,36,1,35,0,1,4,4,4,2,4,1,2,4,1
105,30,0,46,0,0,2,2,2,3,3,1,1,3,1
106,18,0,72,0,0,1,1,5,1,5,1,1,1,1
107,18,1,46,0,0,2,1,1,3,1,2,2,3,1
108,24,1,90,0,0,4,1,1,1,3,3,4,4,0
109,24,1,20,1,0,1,1,2,1,1,3,1,2,1
110,40,0,25,1,0,1,1,1,1,2,1,1,1,1
111,26,0,50,0,0,2,2,1,1,1,1,1,1,1
112,30,1,46,0,1,1,1,1,1,4,1,4,3,0
113,24,1,33,0,0,1,1,3,1,1,1,1,1,1
114,18,0,59,0,0,4,2,2,2,2,1,1,2,1
115,30,1,96,0,1,3,1,2,1,1,4,3,1,1
116,30,0,25,1,0,2,1,1,1,1,1,3,1,1
117,30,0,66,0,0,3,2,1,3,1,1,3,3,0
118,36,0,46,0,0,3,2,1,3,4,1,3,2,0
119,30,0,97,0,0,1,2,2,1,1,2,1,2,1
120,18,1,63,0,0,3,1,1,2,1,1,1,3,1
121,18,1,50,1,0,1,1,3,1,3,3,3,1,0
122,40,1,50,0,0,1,2,3,3,3,1,1,3,1
123,18,1,50,0,0,2,1,1,2,1,1,2,1,1
124,18,0,50,0,0,1,3,2,3,3,1,3,1,0
125,18,0,46,0,0,1,4,3,4,4,3,3,3,0
126,24,1,63,1,0,1,1,1,1,1,2,2,1,1
127,30,1,35,0,1,2,2,2,1,1,1,1,1,1
128,18,0,53,0,0,2,2,1,1,1,1,1,1,1
129,30,0,36,0,0,1,1,3,3,3,3,1,3,1
130,24,0,60,0,0,3,1,3,1,3,4,3,3,0
131,18,1,60,1,0,4,3,1,1,1,1,3,4,1
132,18,1,60,0,0,3,1,1,3,4,3,3,3,0
133,30,1,60,0,1,2,3,1,1,3,1,1,1,1
134,24,0,60,0,1,4,1,4,1,1,2,3,2,1
135,30,0,56,0,0,2,1,2,4,1,2,3,3,0
136,24,1,37,0,0,3,1,3,1,1,3,3,3,0
137,24,0,40,0,0,2,1,2,1,1,1,2,3,1
138,24,0,40,0,0,2,3,2,3,3,2,1,4,1
139,30,1,20,0,0,1,1,3,4,1,2,1,2,1
140,30,1,30,1,0,2,1,1,3,4,3,3,3,0
141,24,0,52,0,1,3,2,2,1,1,1,1,1,1
142,18,0,29,0,0,2,1,1,1,2,2,2,1,1
143,24,0,38,0,0,3,1,1,1,4,3,3,1,1
144,24,0,27,0,0,1,1,1,1,3,2,3,1,0
145,30,1,46,0,0,4,4,4,2,1,2,1,2,1
146,36,1,28,1,1,1,2,1,1,3,1,3,1,0
147,30,1,40,0,0,1,1,1,1,1,1,1,1,1
148,40,1,40,0,0,2,3,3,1,4,2,1,1,1
149,18,1,30,1,0,1,1,1,1,3,1,3,1,0
150,30,0,43,0,0,1,2,2,3,1,3,3,3,0
151,24,0,30,0,0,3,1,1,1,2,1,1,1,1
152,24,1,46,1,0,3,1,2,3,1,2,1,1,1
